ra,dec,SDSS_Objid,Prediction,Label
2.5598,0.2013999968767166,1237663784198537303,0.17729396,Barred-NonRings
2.578,15.54170036315918,1237656496188489911,0.06837806,Barred-NonRings
2.6065,0.972100019454956,1237663278465744997,0.17127852,Barred-NonRings
2.6398,14.407299995422363,1237652942639530207,0.17585401,Barred-NonRings
2.6769,14.955300331115724,1237652943176466561,0.07424586,Barred-NonRings
2.6799,15.038299560546877,1237656495651684476,0.5109916,Barred-Rings
2.6944,-0.8924000263214111,1237657189832655026,0.00047840603,Barred-NonRings
2.6963,-0.1448000073432922,1237657190906396832,0.017416075,Barred-NonRings
2.705,13.878399848937988,1237656494041071870,0.17647156,Barred-NonRings
2.7313,13.880499839782717,1237656494041071806,0.00024153775,Barred-NonRings
2.7631,15.17549991607666,1237656495651684608,0.005707877,Barred-NonRings
2.7793,15.499500274658203,1237656496188555519,0.009561182,Barred-NonRings
2.8048,14.28159999847412,1237656494578008176,0.9012019,Barred-Rings
2.8099,-11.033100128173828,1237652946379407460,0.26739073,Barred-NonRings
2.8127,-9.189000129699709,1237672794498334924,0.00014453566,Barred-NonRings
2.8634,15.463199615478516,1237656496188620958,0.035581555,Barred-NonRings
2.8717,-0.6243000030517578,1237657190369591484,0.00021487319,Barred-NonRings
2.8919,14.548399925231934,1237652942639661182,0.121011145,Barred-NonRings
2.932,0.5228999853134155,1237663277929070603,0.22896898,Barred-NonRings
3.0007,1.0917999744415283,1237657192517140654,0.22999935,Barred-NonRings
3.036,-0.2443999946117401,1237663783661863120,0.7439014,Barred-Rings
3.1,15.369000434875488,1237652943713468581,0.10667545,Barred-NonRings
3.1021,-0.0716999992728233,1237657190906593359,0.1933484,Barred-NonRings
3.1435,14.494400024414062,1237652942639792503,0.102187105,Barred-NonRings
3.1479,0.2317000031471252,1237657191443464439,0.31224617,Barred-NonRings
3.1578,-9.639599800109863,1237652947990151319,0.108533666,Barred-NonRings
3.1727,-1.0534000396728516,1237663275781652653,0.092071556,Barred-NonRings
3.1969,15.749300003051758,1237652944250405074,0.4347248,Barred-NonRings
3.2095,-10.664600372314451,1237652629099970695,0.13796446,Barred-NonRings
3.2098,0.263399988412857,1237657191443464491,0.9472397,Barred-Rings
3.2179,15.64680004119873,1237652944250405154,0.0001949146,Barred-NonRings
3.2234,14.205400466918944,1237656494578139365,0.111230694,Barred-NonRings
3.2565,-9.197500228881836,1237672795035271315,0.0038514666,Barred-NonRings
3.2694,13.902600288391112,1237656494041334023,0.17020307,Barred-NonRings
3.2868,-1.000300049781799,1237657189832917095,0.203886,Barred-NonRings
3.2915,16.199600219726562,1237653653446983715,0.010114291,Barred-NonRings
3.2991,14.894700050354004,1237653651836371053,0.63052744,Barred-Rings
3.3409,0.8611999750137329,1237663278466072775,0.55381,Barred-Rings
3.3704,-0.977299988269806,1237657189832917164,0.08099483,Barred-NonRings
3.3771,0.1270000040531158,1237663277392396369,0.46491838,Barred-NonRings
3.3895,-10.21909999847412,1237652900212703369,0.00014541762,Barred-NonRings
3.3971,-10.198399543762209,1237652947453345905,0.25923464,Barred-NonRings
3.4698,0.0782999992370605,1237663277392396454,0.00015804483,Barred-NonRings
3.5113,-1.0068999528884888,1237657189832982752,0.0016590798,Barred-NonRings
3.5438,16.113300323486328,1237653653447049458,0.00454824,Barred-NonRings
3.5953,-0.1763000041246414,1237657190906790008,0.00019010602,Barred-NonRings
3.6072,14.937399864196776,1237653651836502125,0.1641071,Barred-NonRings
3.6104,-0.4327999949455261,1237657190369919189,0.71390337,Barred-Rings
3.6516,-10.508299827575684,1237652946916606110,0.011682946,Barred-NonRings
3.7186,0.9794999957084656,1237663278466269341,0.10164583,Barred-NonRings
3.7355,1.139899969100952,1237657192517468312,0.1213622,Barred-NonRings
3.7458,-1.2085000276565552,1237663782588448920,0.042455457,Barred-NonRings
3.7484,-1.170300006866455,1237663782588448922,0.0010979489,Barred-NonRings
3.7704,15.89050006866455,1237656496725885243,0.00084575015,Barred-NonRings
3.7715,0.6430000066757202,1237657191980597449,0.2239893,Barred-NonRings
3.7985,14.016300201416016,1237653650762825893,0.39272094,Barred-NonRings
3.8252,-10.646200180053713,1237652629100232873,0.0062837508,Barred-NonRings
3.8487,-0.4519000053405761,1237657190370050115,0.25909892,Barred-NonRings
3.85,-11.236300468444824,1237672794499317861,0.00014292599,Barred-NonRings
3.8548,13.869400024414062,1237656494041530448,0.014718329,Barred-NonRings
3.8627,15.013400077819824,1237656495652143435,0.5732231,Barred-Rings
3.8697,14.13949966430664,1237653650762825929,0.042703133,Barred-NonRings
3.8739,0.6398000121116638,1237657191980662852,0.3258065,Barred-NonRings
4.009,0.0419999994337558,1237663784199127307,0.26068172,Barred-NonRings
4.0427,-0.0681999996304512,1237657190906986691,0.44934434,Barred-NonRings
4.0744,-9.134200096130373,1237672796109144083,0.58986723,Barred-Rings
4.0807,16.218799591064453,1237653653447311478,0.028368767,Barred-NonRings
4.0919,-1.180799961090088,1237663782588580048,0.22301826,Barred-NonRings
4.1073,-1.0951000452041626,1237663782588580068,0.016960131,Barred-NonRings
4.1181,16.025299072265625,1237656496726016243,0.39687842,Barred-NonRings
4.1238,0.3145000040531158,1237657191443857667,0.015804946,Barred-NonRings
4.1268,-0.2673999965190887,1237663783662321807,0.9842115,Barred-Rings
4.1818,0.8806999921798706,1237663278466465893,0.035656985,Barred-NonRings
4.205,-0.7642999887466431,1237663783125516524,0.112435915,Barred-NonRings
4.2189,-10.467599868774414,1237652946916868239,0.02433859,Barred-NonRings
4.2333,-0.1159000024199485,1237657190907052210,0.00015510744,Barred-NonRings
4.2415,-0.6966000199317932,1237663783125516471,0.0101082735,Barred-NonRings
4.2809,-0.1416999995708465,1237657190907052232,0.0035259929,Barred-NonRings
4.3059,-10.700900077819824,1237652629100429386,0.024673719,Barred-NonRings
4.3241,0.5493999719619751,1237663277929660614,0.0014165915,Barred-NonRings
4.3382,-9.63860034942627,1237652947990675541,0.027820978,Barred-NonRings
4.3788,-9.059900283813477,1237652901823709305,0.10339317,Barred-NonRings
4.419,-9.297800064086914,1237652948527546483,0.00013267176,Barred-NonRings
4.4239,0.1312000006437301,1237663784199323804,0.36899337,Barred-NonRings
4.4472,14.066900253295898,1237653650763088093,0.11717795,Barred-NonRings
4.4475,-10.133999824523926,1237652947453804721,0.14628977,Barred-NonRings
4.5794,-0.7124000191688538,1237663783125647557,8.0324266e-05,Barred-NonRings
4.6167,-9.76609992980957,1237652947990741204,0.0014293275,Barred-NonRings
4.6429,14.689599990844728,1237656495115600114,0.17446175,Barred-NonRings
4.6553,0.4142999947071075,1237657191444119683,0.113512665,Barred-NonRings
4.6634,-9.674799919128418,1237652947990806831,0.00038016768,Barred-NonRings
4.6721,0.5511000156402588,1237663277929791730,0.018577786,Barred-NonRings
4.6723,-0.4022000133991241,1237663783662583996,0.03430584,Barred-NonRings
4.6765,-9.27910041809082,1237652948527677595,0.007956047,Barred-NonRings
4.6971,-0.2161999940872192,1237663783662583924,0.15057567,Barred-NonRings
4.7826,-10.037599563598633,1237652947454001222,0.09924619,Barred-NonRings
4.7915,-10.8858003616333,1237652946380259456,0.072632544,Barred-NonRings
4.8063,-0.7667999863624573,1237663783125778508,0.35760927,Barred-NonRings
4.8368,-10.944199562072754,1237652946380259346,0.93569714,Barred-Rings
4.8936,-1.1240999698638916,1237663782588907862,0.02509227,Barred-NonRings
4.9082,-0.589900016784668,1237657190370509045,0.25440547,Barred-NonRings
4.9094,15.941900253295898,1237656496726343883,0.033394698,Barred-NonRings
4.9397,-0.1872999966144561,1237657190907379823,0.5137684,Barred-Rings
4.9509,15.72089958190918,1237653652910768317,0.121453196,Barred-NonRings
4.9635,15.174699783325195,1237656495652667494,0.08540739,Barred-NonRings
4.9982,15.72719955444336,1237653652910833909,0.09604726,Barred-NonRings
5.0156,15.463700294494627,1237656496189538498,0.00019046817,Barred-NonRings
5.0833,-8.990799903869629,1237652901824037106,0.009641508,Barred-NonRings
5.1153,0.0043000001460313,1237663784199651490,0.9056617,Barred-Rings
5.1221,-0.5550000071525574,1237657190370574568,0.7657886,Barred-Rings
5.1266,-0.1787000000476837,1237657190907445450,0.038100712,Barred-NonRings
5.1361,15.347399711608888,1237653652374028305,0.6639486,Barred-Rings
5.1581,-9.644100189208984,1237652947991003201,0.0026242877,Barred-NonRings
5.1876,0.84170001745224,1237663278466924724,0.19771993,Barred-NonRings
5.2265,-0.1889999955892563,1237657190907510859,0.00029153845,Barred-NonRings
5.2466,-0.9639000296592712,1237657189833769333,0.133435,Barred-NonRings
5.2466,0.5271000266075134,1237663716016652353,0.04898044,Barred-NonRings
5.2988,-9.30270004272461,1237652948527939728,0.12451865,Barred-NonRings
5.3468,-0.3607000112533569,1237663783662846140,0.81476027,Barred-Rings
5.3512,-1.2200000286102295,1237663782589104370,0.44830555,Barred-NonRings
5.3514,-0.1151999980211258,1237657190907576544,0.014244619,Barred-NonRings
5.3517,0.5471000075340271,1237663716016652406,0.12206747,Barred-NonRings
5.4054,-0.4745000004768371,1237657190370705566,0.23461051,Barred-NonRings
5.4112,-1.0281000137329102,1237657189833834863,0.009443454,Barred-NonRings
5.4191,0.3357000052928924,1237657191444447476,0.02707675,Barred-NonRings
5.4209,0.0264999996870756,1237663784199782501,0.6092207,Barred-Rings
5.4286,14.214300155639648,1237656494579122291,0.04591603,Barred-NonRings
5.493,-0.1326999962329864,1237657190907641944,0.13999128,Barred-NonRings
5.5665,-0.7569000124931335,1237663783126106240,0.8238872,Barred-Rings
5.5798,-0.8486999869346619,1237657189833900378,0.0019520823,Barred-NonRings
5.5807,16.10580062866211,1237653653447901332,0.21453859,Barred-NonRings
5.617,-9.502699851989746,1237652630711631931,0.00631769,Barred-NonRings
5.6203,14.83769989013672,1237653651837354113,0.19581355,Barred-NonRings
5.6312,16.18600082397461,1237653653447966839,0.0014461315,Barred-NonRings
5.6463,0.2928999960422516,1237657191444578435,0.773794,Barred-Rings
5.679,-9.72130012512207,1237652947991199936,0.2134352,Barred-NonRings
5.6918,0.3018999993801117,1237657191444578477,0.14070073,Barred-NonRings
5.7174,-0.7915999889373779,1237663783126171765,0.21905181,Barred-NonRings
5.7177,0.0885000005364418,1237663784199913727,0.004516106,Barred-NonRings
5.7606,1.131999969482422,1237657192518320503,0.00081744,Barred-NonRings
5.7617,-10.554400444030762,1237652946917523563,0.6328756,Barred-Rings
5.7808,-11.078100204467772,1237652628564213914,0.004559307,Barred-NonRings
5.7957,15.388999938964844,1237653652374290564,0.07816006,Barred-NonRings
5.8051,-0.963800013065338,1237657189834031199,0.2667633,Barred-NonRings
5.8089,-11.061800003051758,1237652628564213925,0.0046020914,Barred-NonRings
5.817,1.1854000091552734,1237657192518385755,0.1238526,Barred-NonRings
5.8292,0.633400022983551,1237657191981514865,0.03746374,Barred-NonRings
5.9018,0.6371999979019165,1237657191981514910,0.567627,Barred-Rings
5.9328,14.306699752807615,1237656494579318872,0.41567388,Barred-NonRings
5.9614,-10.34179973602295,1237652629638021227,0.00017255495,Barred-NonRings
5.9794,-0.1697999984025955,1237657190907838586,0.00032699082,Barred-NonRings
6.0143,-1.0988999605178833,1237663782589431976,0.00018811283,Barred-NonRings
6.0346,-9.972999572753906,1237652900750688375,0.012797843,Barred-NonRings
6.0426,-0.8159000277519226,1237663783126302840,0.023394004,Barred-NonRings
6.0877,-8.941399574279785,1237652949065138259,0.0011827513,Barred-NonRings
6.1323,-0.067500002682209,1237657190907904093,0.109673046,Barred-NonRings
6.1801,15.331600189208984,1237653652374421717,0.00014478243,Barred-NonRings
6.1875,-0.8219000101089478,1237663783126368366,0.031126903,Barred-NonRings
6.2636,-0.1499000042676925,1237657190907969549,0.13862206,Barred-NonRings
6.2674,-10.857399940490724,1237652946380849289,0.09408256,Barred-NonRings
6.3054,-10.480600357055664,1237652946917785702,0.11242064,Barred-NonRings
6.3124,-0.9187999963760376,1237657189834227803,0.5758083,Barred-Rings
6.3246,-0.7095999717712402,1237663783126433958,0.28089124,Barred-NonRings
6.333,-10.12600040435791,1237652947454656746,0.025133505,Barred-NonRings
6.3515,0.1808000057935714,1237663784200175785,0.00023287591,Barred-NonRings
6.3711,14.120800018310549,1237653650763940038,0.048828896,Barred-NonRings
6.3771,-9.68589973449707,1237652947991527525,0.0001403002,Barred-NonRings
6.3907,13.91510009765625,1237656494042644627,0.0012664488,Barred-NonRings
6.4039,-0.9697999954223632,1237657189834293260,0.092581846,Barred-NonRings
6.4363,-0.0096000004559755,1237657190908035242,0.27549925,Barred-NonRings
6.4543,-0.8281999826431274,1237663783126499463,0.22988325,Barred-NonRings
6.4689,15.512700080871582,1237656496190128484,0.09953518,Barred-NonRings
6.4747,-0.5091000199317932,1237657190371164318,0.07067141,Barred-NonRings
6.5181,0.4871000051498413,1237663716017176812,0.28570893,Barred-NonRings
6.573,15.489399909973145,1237656496190193814,0.00046030965,Barred-NonRings
6.6012,-10.036800384521484,1237652947454722205,8.205912e-05,Barred-NonRings
6.6187,-1.1308000087738037,1237663782589694184,0.012580044,Barred-NonRings
6.6412,0.498199999332428,1237663716017242259,0.1255846,Barred-NonRings
6.6467,0.1633999943733215,1237663784200306845,0.015053838,Barred-NonRings
6.6992,-9.59850025177002,1237652947991658650,0.14177701,Barred-NonRings
6.7036,-10.976799964904783,1237652946381045899,0.11849996,Barred-NonRings
6.7053,0.5666000247001648,1237663716017242321,0.19201577,Barred-NonRings
6.7324,0.3028999865055084,1237657191445037145,0.5802613,Barred-Rings
6.7566,0.5821999907493591,1237663716017307704,0.08841392,Barred-NonRings
6.766,0.4602999985218048,1237663716017307719,0.92741215,Barred-Rings
6.803,-9.496500015258787,1237652630712090768,0.1274365,Barred-NonRings
6.846,15.561699867248535,1237656496190325053,0.05872954,Barred-NonRings
6.8531,1.256600022315979,1237678617420824886,0.12127057,Barred-NonRings
6.9163,-0.6191999912261963,1237657190371360865,0.00021511075,Barred-NonRings
6.9381,15.922200202941896,1237656496727195901,0.0011098561,Barred-NonRings
6.9629,-0.8476999998092651,1237657189834490050,0.019642983,Barred-NonRings
6.99,-0.0612999983131885,1237657190908297368,0.59970784,Barred-Rings
7.0074,15.340800285339355,1237653652374814847,0.0043074666,Barred-NonRings
7.0855,-0.2178999930620193,1237663783663632431,0.995074,Barred-Rings
7.0903,-10.576299667358398,1237652946918113476,0.002191887,Barred-NonRings
7.0925,-9.280799865722656,1237652948528726113,0.17478651,Barred-NonRings
7.1065,0.2694999873638153,1237657191445168296,0.117912814,Barred-NonRings
7.1349,-10.50730037689209,1237652946918113514,0.041070797,Barred-NonRings
7.1506,-0.3269000053405761,1237663783663632515,0.00016121526,Barred-NonRings
7.1545,14.566699981689451,1237653651301138798,0.0002867923,Barred-NonRings
7.1886,-0.2865000069141388,1237663783663698023,0.13363041,Barred-NonRings
7.2099,-10.967700004577637,1237652946381242613,0.13507973,Barred-NonRings
7.2513,-0.8097000122070312,1237663783126827265,0.033993423,Barred-NonRings
7.2703,-9.28439998626709,1237652948528791592,0.16435838,Barred-NonRings
7.276,14.305500030517578,1237656494579843387,0.1610481,Barred-NonRings
7.3306,0.5608000159263611,1237663716017569831,0.38306448,Barred-NonRings
7.3363,0.9162999987602234,1237663278467842249,0.0014637741,Barred-NonRings
7.3417,-10.58780002593994,1237652946918178936,0.0036523324,Barred-NonRings
7.3423,14.90719985961914,1237653651838075025,0.028300721,Barred-NonRings
7.3708,14.56190013885498,1237653651301204099,0.13686994,Barred-NonRings
7.3756,15.39050006866455,1237653652374945987,0.20284903,Barred-NonRings
7.376,13.942500114440918,1237653650764333161,0.004210691,Barred-NonRings
7.3767,-9.203900337219238,1237652948528857278,0.24456486,Barred-NonRings
7.3862,-0.7488999962806702,1237663783126892660,0.48044235,Barred-NonRings
7.387,-1.0957000255584717,1237663782590021834,0.16204499,Barred-NonRings
7.4917,-0.3811999857425689,1237663783663829191,0.19173537,Barred-NonRings
7.5769,-8.796600341796875,1237652949065793656,0.0016379734,Barred-NonRings
7.6143,-0.4532999992370605,1237657190371688673,0.12301954,Barred-NonRings
7.6353,15.14009952545166,1237656495653781604,0.2244521,Barred-NonRings
7.6763,14.936200141906738,1237653651838206188,0.1078621,Barred-NonRings
7.6782,-8.917400360107422,1237652949065859193,0.341749,Barred-NonRings
7.7011,14.453700065612791,1237653651301335160,0.00046634345,Barred-NonRings
7.7133,-0.2840000092983246,1237663783663894738,0.25019512,Barred-NonRings
7.7511,1.24399995803833,1237678617421217969,0.21552652,Barred-NonRings
7.7867,-0.0186000000685453,1237657190908624962,0.6687146,Barred-Rings
7.8431,-10.378499984741213,1237652629638808019,0.00014404392,Barred-NonRings
7.8437,0.3122000098228454,1237657191445495947,0.22075732,Barred-NonRings
7.8701,15.268699645996094,1237653652375142606,0.00328011,Barred-NonRings
7.8938,0.045899998396635,1237663784200831177,0.3996497,Barred-NonRings
7.9232,-0.5372999906539917,1237657190371819641,0.23232636,Barred-NonRings
7.9716,0.9453999996185304,1237663716554703038,0.1641456,Barred-NonRings
8.0415,16.055099487304688,1237653653448950026,0.07812911,Barred-NonRings
8.0742,15.79699993133545,1237653652912079122,0.11121176,Barred-NonRings
8.0901,-9.17169952392578,1237652948529119380,0.13547088,Barred-NonRings
8.104,-8.892000198364258,1237652949065990256,0.021963164,Barred-NonRings
8.1145,15.881500244140623,1237656496727720066,0.042700656,Barred-NonRings
8.1376,-8.932999610900879,1237652949066055793,0.018274695,Barred-NonRings
8.2295,15.256199836730955,1237653652375339160,0.006271368,Barred-NonRings
8.232,-0.0209999997168779,1237657190908821574,0.79468685,Barred-Rings
8.2384,0.5501000285148621,1237663716017963155,0.005254139,Barred-NonRings
8.3858,-10.270299911499023,1237652629639069807,0.21057418,Barred-NonRings
8.3886,-8.811800003051758,1237652949066121354,0.007660922,Barred-NonRings
8.3901,-9.194600105285645,1237652948529250339,0.91491264,Barred-Rings
8.4288,-0.9957000017166138,1237657189835145354,0.017034896,Barred-NonRings
8.4541,-0.8431000113487244,1237657189835145376,0.00029911232,Barred-NonRings
8.4578,-0.4397000074386596,1237657190372016353,0.5801979,Barred-Rings
8.465,-0.7422999739646912,1237663783127351456,0.7341639,Barred-Rings
8.4683,-10.375399589538574,1237652629639069857,0.23340315,Barred-NonRings
8.5095,-9.759099960327148,1237652947992445140,0.21431793,Barred-NonRings
